id,name,data,length,alias,language,imdb,star,cnumber,region
30365467,金陵三绝之猾丐,['2018-10-30(中国大陆)'],['92'],[],['汉语普通话'],[],[''],[],['中国大陆']
30284841,舞台母子 Saremo giovani e bellissimi,['2018-08-31(威尼斯电影节)'],['92'],['We′ll Be Young and Beautiful'],['意大利语'],['https://www.imdb.com/title/tt8930424'],[''],[],['意大利']
30317967,医道无界,['2018-08-19(中国大陆)'],[],[],['汉语普通话'],[],[''],[],['中国大陆']
33462359,魔法×战士 魔力纯心！ 魔法×戦士 マジマジョピュアーズ！,['2018-04-01(日本)'],[],['魔法战士 魔力纯心'],['日语'],[],[''],[],['日本']
30276427,欢呼！天堂之国,['2018-06-13(北京)'],[],['Viva! Paradise Nation'],['无对白'],[],[''],[],['中国大陆']
30286918,埃德·鲍斯的川国之旅 Travels in Trumpland with Ed Balls,['2018-07-29(英国)'],[],[],['英语'],['https://www.imdb.com/title/tt8754672'],[''],[],['英国']
30416836,全优生 Straight A,['2018-10-12(美国)'],['9'],[],['英语 / 汉语普通话'],['https://www.imdb.com/title/tt5705124'],[''],[],['美国']
30262334,三傻闹地球 Luis & the Aliens,"['2019-10-26(中国大陆)', '2018-04-06(波兰)']",['86'],['路易斯与外星人 / 路易斯和卢卡-登月行动 / Luis & Die Aliens / Luis and His Friends from Outer Space'],['英语 / 西班牙语'],['https://www.imdb.com/title/tt4410000'],[''],[],['德国 / 卢森堡 / 丹麦']
33410903,"梅奥诊所：信仰、希望与科学 The Mayo Clinic, Faith, Hope and Science",[],[],[],['英语'],['https://www.imdb.com/title/tt8946352'],[''],[],['美国']
27113810,暗数杀人 암수살인,['2018-10-03(韩国)'],['110'],['黑数杀人 / 七罪追缉令(台) / Dark Figure of Crime'],['韩语'],['https://www.imdb.com/title/tt8119680'],['6.7'],['10721'],['韩国']
30188027,五夜講場 2018,['2018-04-02(中国香港)'],[],['RTHK Talk Show'],['粤语'],[],[''],[],['中国香港']
30142048,飞蛾扑火 The Silk and the Flame,['2018-02-19(柏林电影节)'],['87'],[],['英语 / 汉语普通话'],['https://www.imdb.com/title/tt7938478'],[''],[],['美国 / 中国大陆']
30276433,万无一失,['2018-06-13(北京)'],[],[],['无对白'],[],[''],[],['中国大陆']
30372127,问候 Salam,[],['14'],[],['英语'],['https://www.imdb.com/title/tt7821194'],[''],[],['美国 / 英国']
30299192,武动乾坤 第二季,['2018-10-11(中国大陆)'],[],['武动乾坤之冰心在玉壶 / 武动乾坤（下） / Martial Universe Ⅱ'],['汉语普通话'],[],[''],[],['中国大陆']
27079363,S.M.H.,['2018-06-21(上海电影节)'],[],[],['无对白'],[],[''],[],['中国大陆']
30192296,好同志，好孩子 Seltsimees laps,['2018-03-23(爱沙尼亚)'],['99'],['The Little Comrade'],['爱沙尼亚语 / 俄语'],['https://www.imdb.com/title/tt6315438'],[''],[],['爱沙尼亚']
30353300,说出她的名字：桑德拉布兰德的生与死 Say Her Name: The Life and Death of Sandra Bland,['2018-04-25(美国)'],['103'],['监狱死亡案件'],['英语'],['https://www.imdb.com/title/tt8106584'],[''],[],['美国']
30198963,意料之外的Q 뜻밖의 Q,['2018-05-05(韩国)'],[],['意外的Q'],['韩语'],[],['6.1'],['135'],['韩国']
30327495,學是學非 (Sr.6),['2018-06-24(中国香港)'],[],[],['粤语'],[],[''],[],['中国香港']
34463209,珍珠,[],[],['Pearl'],['汉语普通话'],['https://www.imdb.com/title/tt9466980'],[''],[],['中国大陆']
26915507,柑橘味香气 Citrus,['2018-01-06(日本)'],[],['citrus～柑橘味香气～'],['日语'],['https://www.imdb.com/title/tt7521578'],['7.5'],['5549'],['日本']
30198977,马格利特 Magritte,"['2017(美国)', '2018-04-15(北京电影节)']",['7'],[],['无对白'],['https://www.imdb.com/title/tt8319968'],[''],[],['英国']
30172410,可疑诊疗室：特殊待遇 수상한 진료실: 엄마친구의 특별한 치료,['2018-03-06(韩国)'],['63'],[],['日语'],[],[''],[],['韩国']
