ID,name,type
486fb6bc-a4f6-4d57-8d17-c020b75bb363,卢秀一,2
7469000c-0992-4908-a38a-e42a9ff449bc,高敏秀,2
06e9acb8-b7be-4aff-9882-d134f25675dd,李镇赫,2
551758eb-1a4d-4306-8017-d3091c941d1b,金宇硕,2
19ee7a6b-2056-4f41-be51-ba404a7533e1,宣叡仁,2
78664657-85ba-46d9-b01d-8a0a2749509f,韩奎珍,2
2ef69f75-c105-4aa7-94d6-30407b8f4144,李欢喜,2
5697b6f2-2cdb-4cdb-8ad9-f3b1bd1a766f,李东烈,2
4479c0bd-c77f-4611-a7ca-cccf2e4a833c,金晓珍,2
5f81972e-f870-4b2b-af43-79bf91c44750,李昌润,2
a620576d-c571-42c8-b330-aefde28302c5,李昇俊,2
4b4de94c-74af-44a5-b760-73a37c5a0df8,沈宰营,2
7b9f7174-33aa-4702-aa16-f4c8cb6f8f7f,朴珉均,2
37f53086-416f-4542-8fd5-208cc1f38585,水口裕斗,2
600bf489-b624-4d83-8584-3d99379a42b5,金民锡,2
1406060,俞定延,2
1355588,平井桃,2
1354126,凑崎纱夏,2
1413659,朴志效,2
1354125,名井南,2
1401007,金多贤,2
1413658,孙彩瑛,2
1354077,周子瑜,2
593565f0-37d6-4891-9b08-fe02d865bbc6,野田悠介,0
1358549,金沢达也,1
1321447,安达奈绪子,1
1345900,成田凌,2
1313718,新木优子,2
1343099,马场富美加,2
1002071,有冈大贵,2
a314b4de-f7f1-4119-85f7-3f59ae088b28,김부곤,0
ab6256dd-fdce-4cd3-9615-a2fbc0a8c66e,지오,2
8a3a1dfc-92fe-4e92-ba29-b93bc52c27f8,지현,2
b538304a-044d-4fd7-812a-a88387471059,문준용,2
8964eb7e-414d-4c35-96c2-97582e81eea5,조완진,2
1309435,常广丈太,0
1341937,本多孝好,1
1344623,金城一纪,1
1320333,青岛武 ,1
1321448,渡边雄介,1
1398441,德永富彦,1
1309435,泷本智行,1
1028166,山田孝之,2
1274418,菅田将晖,2
1058969,麻生久美子,2
1275733,桥本爱,2
1347978,野田洋次郎,2
1366823,石桥静河,2
1048388,余贵美子,2
1330369,渡边大知,2
1398440,朝比奈秀树,2
1035615,大塚明夫,2
1034382,松本若菜,2
1397461,中田青渚,2
ca0c1dab-ef0f-4dbf-bb06-8bbdcac925e7,NHK,0
a5065ed7-d148-4be7-ace1-4a471c4f7609,【語り】枝元萌,2
1020600,风间俊介,2
1343843,平野紫耀,2
1343911,永濑廉,2
1401144,高桥海人,2
1343742,岸优太,2
1327463,岩桥玄树,2
1326987,神宫寺勇太,2
49fbfcb8-bf36-4cce-ba52-71b3845b9af7,Arto Koskinen,0
10f426fe-d6ee-4a0c-9a44-a671edfc14f3,Arto Koskinen,1
70f3c1ad-2e55-46a7-9687-17efb7338a4f,Akseli Anttila,2
1da07c00-98d6-4a1d-ae36-d70bb3e4271a,Taneli Armanto,2
1032801,米哈伊尔·戈尔巴乔夫,2
f424e232-87a3-4a18-b81b-c32a26f2de2a,Ian Broughall,2
5e20b374-94c7-45b8-af47-3d9e132d4951,Mika Eriksson,2
1b190720-69f3-4638-9b6e-1377db6bac2a,Seppo Haataja,2
c700db7a-abf8-46a5-bd83-93b67e4a77c2,黄晨怡,0
